source_system;source_file;source_sheet;source_row_number;source_id;deposit_account_no;account_no;cif_no;cif_id;deposit_product_code;deposit_product_id;bilyet_number;deposit_bilyet_id;amount;interest_rate;tenor;placement_date;maturity_date;rollover_type;saving_account_no;saving_account_id;interest_calculation_type;branch_code;branch_id;marketing_code;marketing_id;source_of_funds;fund_channel;reason;status;closed_at;created_by;migration_notes;migration_batch_code;opening_journal_reference;opening_debit_coa_code;opening_debit_coa_id;opening_credit_coa_code;opening_credit_coa_id
EXCEL;EXCEL;EXCEL;1;1;201000100000000001;201000100000000001;00010000014;14;201;1;00001;1;40000000;8.25;3;2025-06-27;2025-09-27;NONE;104000100000000014;1084;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;2;2;201000100000000002;201000100000000002;00010000110;110;201;1;00002;2;40000000;8.25;3;2025-06-27;2025-09-27;NONE;104000100000000110;1180;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;3;3;201000100000000003;201000100000000003;00010000110;110;201;1;00003;3;50000000;8.25;3;2025-07-21;2025-10-21;NONE;104000100000000110;1180;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;4;4;201000100000000004;201000100000000004;00010000002;2;201;1;00004;4;15000000;8.25;3;2025-07-21;2025-10-21;NONE;104000100000000002;1072;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;5;5;201000100000000005;201000100000000005;00010000014;14;201;1;00005;5;30000000;8.25;3;2025-08-09;2025-11-09;NONE;104000100000000014;1084;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;6;6;201000100000000006;201000100000000006;00010000125;125;201;1;00006;6;20000000;8.25;3;2025-08-16;2025-11-16;NONE;104000100000000125;1195;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;7;7;201000100000000007;201000100000000007;00010000014;14;201;1;00007;7;30000000;8.25;12;2026-06-11;2027-06-11;NONE;104000100000000014;1084;MONTHLY;0001;1;MKT-0001-001;1;;;;ACTIVE;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;8;8;201000100000000008;201000100000000008;00010000145;145;201;1;00008;8;15000000;8.25;3;2025-10-14;2026-01-14;NONE;104000100000000145;1215;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;9;9;201000100000000009;201000100000000009;00010000209;803;201;1;00009;9;100000000;8.25;3;2025-10-16;2026-01-16;NONE;104000100000000803;1279;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;10;10;201000100000000010;201000100000000010;00010000014;14;201;1;00010;10;50000000;8.25;3;2025-10-17;2026-01-17;NONE;104000100000000014;1084;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;11;11;201000100000000011;201000100000000011;00010000199;793;201;1;00011;11;35000000;8.25;3;2025-10-21;2026-01-21;NONE;104000100000000793;1269;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;12;12;201000100000000012;201000100000000012;00010000210;804;201;1;00012;12;15000000;8.25;3;2025-10-22;2026-01-22;NONE;104000100000000804;1280;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;13;13;201000100000000013;201000100000000013;00010000209;803;201;1;00013;13;100000000;8.25;3;2025-10-25;2026-01-25;NONE;104000100000000803;1279;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;14;14;201000100000000014;201000100000000014;00010000031;31;201;1;00014;14;80000000;8.25;12;2026-09-25;2027-09-25;NONE;104000100000000031;1101;MONTHLY;0001;1;MKT-0001-001;1;;;;ACTIVE;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;15;15;201000100000000015;201000100000000015;00010000066;66;201;1;00015;15;25000000;8;1;2025-11-03;2025-12-03;NONE;104000100000000066;1136;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;16;16;201000100000000016;201000100000000016;00010000211;805;201;1;00016;16;100000000;7.75;1;2025-11-03;2025-12-03;NONE;104000100000000805;1281;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;17;17;201000100000000017;201000100000000017;00010000125;125;201;1;00017;17;150000000;8;1;2025-11-07;2025-12-07;NONE;104000100000000125;1195;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;18;18;201000100000000018;201000100000000018;00010000125;125;201;1;00018;18;180000000;8;1;2025-11-08;2025-12-08;NONE;104000100000000125;1195;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
EXCEL;EXCEL;EXCEL;19;19;201000100000000019;201000100000000019;00010000212;806;201;1;00019;19;200000000;7.75;3;2025-01-22;2025-04-22;NONE;104000100000000806;1282;MONTHLY;0001;1;MKT-0001-001;1;;;;MATURED;;1;;DEP-MIG-2026-06-24;MIG-DEP-20260624;149999;;212010;
