source_system;source_file;source_sheet;source_row_number;source_id;deposit_account_no;deposit_account_id;month_index;schedule_date;gross_interest;tax_amount;net_interest;status;payment_date;transaction_no;deposit_transaction_id;migration_notes
EXCEL;EXCEL;deposit_schedules;1;201000100000000001-1;201000100000000001;;1;2025-07-27;275000.00;0.00;275000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;2;201000100000000001-2;201000100000000001;;2;2025-08-27;275000.00;0.00;275000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;3;201000100000000001-3;201000100000000001;;3;2025-09-27;275000.00;0.00;275000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;4;201000100000000002-1;201000100000000002;;1;2025-07-27;275000.00;0.00;275000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;5;201000100000000002-2;201000100000000002;;2;2025-08-27;275000.00;0.00;275000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;6;201000100000000002-3;201000100000000002;;3;2025-09-27;275000.00;0.00;275000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;7;201000100000000003-1;201000100000000003;;1;2025-08-21;343750.00;0.00;343750.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;8;201000100000000003-2;201000100000000003;;2;2025-09-21;343750.00;0.00;343750.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;9;201000100000000003-3;201000100000000003;;3;2025-10-21;343750.00;0.00;343750.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;10;201000100000000004-1;201000100000000004;;1;2025-08-21;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;11;201000100000000004-2;201000100000000004;;2;2025-09-21;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;12;201000100000000004-3;201000100000000004;;3;2025-10-21;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;13;201000100000000005-1;201000100000000005;;1;2025-09-09;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;14;201000100000000005-2;201000100000000005;;2;2025-10-09;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;15;201000100000000005-3;201000100000000005;;3;2025-11-09;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;16;201000100000000006-1;201000100000000006;;1;2025-09-16;137500.00;0.00;137500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;17;201000100000000006-2;201000100000000006;;2;2025-10-16;137500.00;0.00;137500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;18;201000100000000006-3;201000100000000006;;3;2025-11-16;137500.00;0.00;137500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;19;201000100000000007-1;201000100000000007;;1;2026-07-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;20;201000100000000007-2;201000100000000007;;2;2026-08-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;21;201000100000000007-3;201000100000000007;;3;2026-09-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;22;201000100000000007-4;201000100000000007;;4;2026-10-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
