source_system;source_file;source_sheet;source_row_number;source_id;loan_account_no;account_no;pk_number;cif_no;cif_id;loan_product_code;loan_product_id;saving_account_no;saving_account_id;branch_code;branch_id;marketing_code;marketing_id;principal_amount;interest_rate;interest_margin;tenor;tenor_type;calculation_method;is_diskonto;diskonto_upfront_amount;due_date_cycle;disbursement_date;outstanding_principal;outstanding_interest;outstanding_penalty;dpd_days;kol_level;collateral_type;collateral_description;collateral_certificate_no;collateral_value;collateral_address;guarantor_name;guarantor_nik;guarantor_phone;guarantor_address;guarantor_relation;provision_fee;admin_fee;insurance_fee;flagging_fee;stamp_duty_fee;prepaid_installment_count;prepaid_installment_amount;blocked_savings_count;blocked_savings_amount;status;approved_by;approved_at;created_by;migration_notes
EXCEL;EXCEL;EXCEL;1;1;301000100000000001;301000100000000001;;00010000042;42;301;1;104000100000000042;1112;0001;1;MKT-0001-001;1;50000000.00;12.00;00.00;1;MONTHS;FLAT;1;500000.00;;01/04/25;50000000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:00;1;
EXCEL;EXCEL;EXCEL;2;1;301000100000000002;301000100000000002;;00010000001;1;301;1;104000100000000001;1071;0001;1;MKT-0001-002;1;50000000.00;12.00;00.00;1;MONTHS;FLAT;1;500000.00;;01/04/25;50000000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:01;1;
EXCEL;EXCEL;EXCEL;3;1;301000100000000003;301000100000000003;;00010000061;61;301;1;104000100000000061;1131;0001;1;MKT-0001-003;1;50000000.00;12.00;00.00;24;MONTHS;FLAT;0;00.00;;01/06/25;37500000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:02;1;
EXCEL;EXCEL;EXCEL;4;1;301000100000000004;301000100000000004;;00010000199;793;301;1;104000100000000793;1269;0001;1;MKT-0001-004;1;35000000.00;12.00;00.00;10;MONTHS;FLAT;0;00.00;;01/06/25;10500000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:03;1;
EXCEL;EXCEL;EXCEL;5;1;301000100000000005;301000100000000005;;00010000052;52;301;1;104000100000000052;1122;0001;1;MKT-0001-005;1;50000000.00;12.00;00.00;60;MONTHS;FLAT;0;00.00;;01/04/25;43333333.33;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:04;1;
EXCEL;EXCEL;EXCEL;6;1;301000100000000006;301000100000000006;;00010000051;51;301;1;104000100000000051;1121;0001;1;MKT-0001-006;1;50000000.00;12.00;00.00;60;MONTHS;FLAT;0;00.00;;01/04/25;43333333.33;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:05;1;
EXCEL;EXCEL;EXCEL;7;1;301000100000000007;301000100000000007;;00010000041;41;301;1;104000100000000041;1111;0001;1;MKT-0001-007;1;20000000.00;12.00;00.00;24;MONTHS;FLAT;0;00.00;;01/08/25;16666666.67;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:06;1;
EXCEL;EXCEL;EXCEL;8;1;301000100000000008;301000100000000008;;00010000048;48;301;1;104000100000000048;1118;0001;1;MKT-0001-008;1;10000000.00;12.00;00.00;60;MONTHS;FLAT;0;00.00;;01/08/25;9333333.33;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:07;1;
EXCEL;EXCEL;EXCEL;9;1;301000100000000009;301000100000000009;;00010000002;2;301;1;104000100000000002;1072;0001;1;MKT-0001-009;1;30000000.00;00.00;00.00;25;MONTHS;FLAT;0;00.00;;01/04/25;00.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;CLOSED;2;2025-12-01 00:00:08;1;
EXCEL;EXCEL;EXCEL;10;1;301000100000000010;301000100000000010;;00010000099;99;301;1;104000100000000099;1169;0001;1;MKT-0001-010;1;20000000.00;12.00;00.00;48;MONTHS;FLAT;0;00.00;;01/08/25;18333333.33;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:09;1;
EXCEL;EXCEL;EXCEL;11;1;301000100000000011;301000100000000011;;00010000130;130;301;1;104000100000000130;1200;0001;1;MKT-0001-011;1;20000000.00;12.00;00.00;24;MONTHS;FLAT;0;00.00;;01/08/25;16666666.67;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:10;1;
EXCEL;EXCEL;EXCEL;12;1;301000100000000012;301000100000000012;;00010000109;109;301;1;104000100000000109;1179;0001;1;MKT-0001-012;1;10000000.00;12.00;00.00;5;MONTHS;FLAT;0;00.00;;01/07/25;00.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;CLOSED;2;2025-12-01 00:00:11;1;
EXCEL;EXCEL;EXCEL;13;1;301000100000000013;301000100000000013;;00010000050;50;301;1;104000100000000050;1120;0001;1;MKT-0001-013;1;30000000.00;12.00;00.00;12;MONTHS;FLAT;0;00.00;;01/07/25;17500000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:12;1;
EXCEL;EXCEL;EXCEL;14;1;301000100000000014;301000100000000014;;00010000037;37;301;1;104000100000000037;1107;0001;1;MKT-0001-014;1;20000000.00;00.00;00.00;60;MONTHS;FLAT;0;00.00;;01/08/25;20000000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:13;1;
EXCEL;EXCEL;EXCEL;15;1;301000100000000015;301000100000000015;;00010000104;104;301;1;104000100000000104;1174;0001;1;MKT-0001-015;1;12000000.00;00.00;00.00;5;MONTHS;FLAT;0;00.00;;01/09/25;12000000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:14;1;
EXCEL;EXCEL;EXCEL;16;1;301000100000000016;301000100000000016;;00010000078;78;301;1;104000100000000078;1148;0001;1;MKT-0001-016;1;30000000.00;12.00;00.00;60;MONTHS;FLAT;0;00.00;;01/07/25;27500000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:15;1;
EXCEL;EXCEL;EXCEL;17;1;301000100000000017;301000100000000017;;00010000098;98;301;1;104000100000000098;1168;0001;1;MKT-0001-017;1;50000000.00;12.00;00.00;60;MONTHS;FLAT;0;00.00;;01/11/25;50000000.00;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:16;1;
EXCEL;EXCEL;EXCEL;18;1;301000100000000018;301000100000000018;;00010000077;77;301;1;104000100000000077;1147;0001;1;MKT-0001-018;1;10000000.00;12.00;00.00;12;MONTHS;FLAT;0;00.00;;01/04/25;3333333.33;00.00;00.00;0;1;;;;;;;;;;;00.00;00.00;00.00;00.00;00.00;0;00.00;0;00.00;ACTIVE;2;2025-12-01 00:00:17;1;
